id;userid;commodityid;specificationsid;num;creator;createdate;modifier;modifierdate;modifiernum;logicdelete;other
1;emulation SQL;Persevering Gorgeous Steel Salad Associate;Fantastic whiteboard;lavender;neural Cloned Massachusetts;SCSI Communications Underpass;Officer parse;Intuitive;94273;true;Phased connecting
2;Automated;architect;lavender;copying primary invoice;EXE;Personal Loan Account Chile foreground;connect Zimbabwe Dollar;Forward;46338;false;Reduced Antigua and Barbuda
3;Customer SDD;AI didactic;Tunnel;Configuration;Jewelery monitoring Infrastructure;Gorgeous ROI implement;Saint Helena Pound;Borders;8104;true;Handcrafted
4;Tasty backing up Cambridgeshire;Borders Internal;open-source Ouguiya;AGP circuit;optical deposit;Pizza Fish next-generation;UIC-Franc;Generic El Salvador Colon US Dollar purple;88163;true;RSS Outdoors backing up
5;copying;reboot;Jewelery;synthesizing Bedfordshire;black;Money Market Account;New York Concrete expedite;Solomon Islands;77984;false;radical
6;Italy;copying benchmark Sausages;Licensed Directives Baht;Paradigm;application;hard drive;proactive Checking Account;SCSI;99014;true;Architect calculate Rubber
7;utilize Small Fresh Gloves target;compress UAE Dirham Dam;Wells;partnerships Terrace Hat;calculating conglomeration bypassing;Kroon deposit systemic;Liaison Grocery capacitor;applications invoice unleash;27421;false;groupware success program
8;teal Outdoors payment;Utah Mall;Liaison teal;Licensed Cheese Summit;back up Auto Loan Account;4th generation;Principal Savings Account online;Music Savings Account;60730;true;architectures
9;Networked;Handcrafted Rubber Gloves;South Carolina;website Curve;Circles;disintermediate Walks Credit Card Account;payment;XSS solid state Handmade Granite Fish;10493;false;Tasty
10;Steel Berkshire;magenta efficient;Automotive approach Borders;PCI;Sports;24/365;Frozen;magenta Turkish Lira;82144;false;Chicken
