id;commodityid;model;specifications;num;price;discount;creator;createdate;modifier;modifierdate;modifiernum;logicdelete;other
1;Rhode Island capacitor;navigating Ergonomic Falls;User-friendly;Savings Account;SMTP;Checking Account global Steel;Borders Springs connecting;SAS;Planner Refined;engage Granite Grocery;75513;true;payment digital
2;Rubber Industrial seamless;withdrawal Jamaica;International;Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;Business-focused Canyon Orchestrator;frictionless orchid;Future-proofed Awesome;Creek;58476;false;Metal deposit
3;Rupiah;Human Mission;Officer Savings Account Automated;Pants even-keeled Chair;Brazil;Island cyan;Granite open architecture;Ergonomic Soft Shoes;Bulgarian Lev Cambridgeshire;Regional;6107;false;SAS
4;quantify;Manager;cultivate Bedfordshire;navigate Kiribati;bypass Games Customer-focused;Bond Markets Units European Composite Unit (EURCO) connecting generate;Refined;back-end enhance;optimal;Chair Kentucky;84070;false;internet solution
5;Total;Investment Account Indian Rupee;withdrawal Club Nebraska;Nevada quantify architectures;empower;customized payment;Grass-roots Cambridgeshire;Personal Loan Account;Music;Pants;24595;false;hacking
6;scalable;Unbranded Fresh Car;Andorra;Rand Namibia Dollar Executive;incubate Agent TCP;Engineer Bedfordshire feed;Assurance Nebraska Mississippi;synthesizing;silver;system;19950;true;Open-source Metal Auto Loan Account
7;Awesome;Sausages Haven;Checking Account frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;Customer-focused;Shoes Rubber Mall;users scalable;transmitting parse infrastructures;matrix Implementation Shirt;6649;true;hard drive Refined Soft Keyboard synthesizing
8;indigo Bacon Mouse;Programmable payment National;HDD;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account;Belize Dollar Bacon;87862;true;Rwanda Customer
9;Liaison copy program;hack Electronics Oklahoma;Cambridgeshire navigate Licensed;Fantastic indexing;Investment Account;haptic Shoes;models;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);port Money Market Account;Chips National Idaho;40085;false;value-added Savings Account
10;Connecticut Avon Money Market Account;bus;Security Virginia;solid state Clothing deposit;Maine Checking Account markets;Unbranded programming District;Concrete;Pizza yellow programming;FTP;Persistent Investment Account;37930;false;sticky neural Kids
